check,status,detail
source_rc26_rows_48,PASS,48
paired_output_rows_96,PASS,96
baseline_rows_48,PASS,
candidate_rows_48,PASS,
scenario_tutor_pairs_48,PASS,48
route_P01-A_Examined Companion,PASS,
user_P01-A_Examined Companion,PASS,
required_P01-A_Examined Companion,PASS,
failure_P01-A_Examined Companion,PASS,
system_changed_P01-A_Examined Companion,PASS,
non_system_same_P01-A_Examined Companion,PASS,
exact_additive_P01-A_Examined Companion,PASS,
candidate_markers_P01-A_Examined Companion,PASS,
baseline_markers_absent_P01-A_Examined Companion,PASS,
route_P01-A_Navigator Twin,PASS,
user_P01-A_Navigator Twin,PASS,
required_P01-A_Navigator Twin,PASS,
failure_P01-A_Navigator Twin,PASS,
system_changed_P01-A_Navigator Twin,PASS,
non_system_same_P01-A_Navigator Twin,PASS,
exact_additive_P01-A_Navigator Twin,PASS,
candidate_markers_P01-A_Navigator Twin,PASS,
baseline_markers_absent_P01-A_Navigator Twin,PASS,
route_P01-B_Examined Companion,PASS,
user_P01-B_Examined Companion,PASS,
required_P01-B_Examined Companion,PASS,
failure_P01-B_Examined Companion,PASS,
system_changed_P01-B_Examined Companion,PASS,
non_system_same_P01-B_Examined Companion,PASS,
exact_additive_P01-B_Examined Companion,PASS,
candidate_markers_P01-B_Examined Companion,PASS,
baseline_markers_absent_P01-B_Examined Companion,PASS,
route_P01-B_Navigator Twin,PASS,
user_P01-B_Navigator Twin,PASS,
required_P01-B_Navigator Twin,PASS,
failure_P01-B_Navigator Twin,PASS,
system_changed_P01-B_Navigator Twin,PASS,
non_system_same_P01-B_Navigator Twin,PASS,
exact_additive_P01-B_Navigator Twin,PASS,
candidate_markers_P01-B_Navigator Twin,PASS,
baseline_markers_absent_P01-B_Navigator Twin,PASS,
route_P02-A_Examined Companion,PASS,
user_P02-A_Examined Companion,PASS,
required_P02-A_Examined Companion,PASS,
failure_P02-A_Examined Companion,PASS,
system_changed_P02-A_Examined Companion,PASS,
non_system_same_P02-A_Examined Companion,PASS,
exact_additive_P02-A_Examined Companion,PASS,
candidate_markers_P02-A_Examined Companion,PASS,
baseline_markers_absent_P02-A_Examined Companion,PASS,
route_P02-A_Navigator Twin,PASS,
user_P02-A_Navigator Twin,PASS,
required_P02-A_Navigator Twin,PASS,
failure_P02-A_Navigator Twin,PASS,
system_changed_P02-A_Navigator Twin,PASS,
non_system_same_P02-A_Navigator Twin,PASS,
exact_additive_P02-A_Navigator Twin,PASS,
candidate_markers_P02-A_Navigator Twin,PASS,
baseline_markers_absent_P02-A_Navigator Twin,PASS,
route_P02-B_Examined Companion,PASS,
user_P02-B_Examined Companion,PASS,
required_P02-B_Examined Companion,PASS,
failure_P02-B_Examined Companion,PASS,
system_changed_P02-B_Examined Companion,PASS,
non_system_same_P02-B_Examined Companion,PASS,
exact_additive_P02-B_Examined Companion,PASS,
candidate_markers_P02-B_Examined Companion,PASS,
baseline_markers_absent_P02-B_Examined Companion,PASS,
route_P02-B_Navigator Twin,PASS,
user_P02-B_Navigator Twin,PASS,
required_P02-B_Navigator Twin,PASS,
failure_P02-B_Navigator Twin,PASS,
system_changed_P02-B_Navigator Twin,PASS,
non_system_same_P02-B_Navigator Twin,PASS,
exact_additive_P02-B_Navigator Twin,PASS,
candidate_markers_P02-B_Navigator Twin,PASS,
baseline_markers_absent_P02-B_Navigator Twin,PASS,
route_P03-A_Examined Companion,PASS,
user_P03-A_Examined Companion,PASS,
required_P03-A_Examined Companion,PASS,
failure_P03-A_Examined Companion,PASS,
system_changed_P03-A_Examined Companion,PASS,
non_system_same_P03-A_Examined Companion,PASS,
exact_additive_P03-A_Examined Companion,PASS,
candidate_markers_P03-A_Examined Companion,PASS,
baseline_markers_absent_P03-A_Examined Companion,PASS,
route_P03-A_Navigator Twin,PASS,
user_P03-A_Navigator Twin,PASS,
required_P03-A_Navigator Twin,PASS,
failure_P03-A_Navigator Twin,PASS,
system_changed_P03-A_Navigator Twin,PASS,
non_system_same_P03-A_Navigator Twin,PASS,
exact_additive_P03-A_Navigator Twin,PASS,
candidate_markers_P03-A_Navigator Twin,PASS,
baseline_markers_absent_P03-A_Navigator Twin,PASS,
route_P03-B_Examined Companion,PASS,
user_P03-B_Examined Companion,PASS,
required_P03-B_Examined Companion,PASS,
failure_P03-B_Examined Companion,PASS,
system_changed_P03-B_Examined Companion,PASS,
non_system_same_P03-B_Examined Companion,PASS,
exact_additive_P03-B_Examined Companion,PASS,
candidate_markers_P03-B_Examined Companion,PASS,
baseline_markers_absent_P03-B_Examined Companion,PASS,
route_P03-B_Navigator Twin,PASS,
user_P03-B_Navigator Twin,PASS,
required_P03-B_Navigator Twin,PASS,
failure_P03-B_Navigator Twin,PASS,
system_changed_P03-B_Navigator Twin,PASS,
non_system_same_P03-B_Navigator Twin,PASS,
exact_additive_P03-B_Navigator Twin,PASS,
candidate_markers_P03-B_Navigator Twin,PASS,
baseline_markers_absent_P03-B_Navigator Twin,PASS,
route_P04-A_Examined Companion,PASS,
user_P04-A_Examined Companion,PASS,
required_P04-A_Examined Companion,PASS,
failure_P04-A_Examined Companion,PASS,
system_changed_P04-A_Examined Companion,PASS,
non_system_same_P04-A_Examined Companion,PASS,
exact_additive_P04-A_Examined Companion,PASS,
candidate_markers_P04-A_Examined Companion,PASS,
baseline_markers_absent_P04-A_Examined Companion,PASS,
route_P04-A_Navigator Twin,PASS,
user_P04-A_Navigator Twin,PASS,
required_P04-A_Navigator Twin,PASS,
failure_P04-A_Navigator Twin,PASS,
system_changed_P04-A_Navigator Twin,PASS,
non_system_same_P04-A_Navigator Twin,PASS,
exact_additive_P04-A_Navigator Twin,PASS,
candidate_markers_P04-A_Navigator Twin,PASS,
baseline_markers_absent_P04-A_Navigator Twin,PASS,
route_P04-B_Examined Companion,PASS,
user_P04-B_Examined Companion,PASS,
required_P04-B_Examined Companion,PASS,
failure_P04-B_Examined Companion,PASS,
system_changed_P04-B_Examined Companion,PASS,
non_system_same_P04-B_Examined Companion,PASS,
exact_additive_P04-B_Examined Companion,PASS,
candidate_markers_P04-B_Examined Companion,PASS,
baseline_markers_absent_P04-B_Examined Companion,PASS,
route_P04-B_Navigator Twin,PASS,
user_P04-B_Navigator Twin,PASS,
required_P04-B_Navigator Twin,PASS,
failure_P04-B_Navigator Twin,PASS,
system_changed_P04-B_Navigator Twin,PASS,
non_system_same_P04-B_Navigator Twin,PASS,
exact_additive_P04-B_Navigator Twin,PASS,
candidate_markers_P04-B_Navigator Twin,PASS,
baseline_markers_absent_P04-B_Navigator Twin,PASS,
route_P05-A_Examined Companion,PASS,
user_P05-A_Examined Companion,PASS,
required_P05-A_Examined Companion,PASS,
failure_P05-A_Examined Companion,PASS,
system_changed_P05-A_Examined Companion,PASS,
non_system_same_P05-A_Examined Companion,PASS,
exact_additive_P05-A_Examined Companion,PASS,
candidate_markers_P05-A_Examined Companion,PASS,
baseline_markers_absent_P05-A_Examined Companion,PASS,
route_P05-A_Navigator Twin,PASS,
user_P05-A_Navigator Twin,PASS,
required_P05-A_Navigator Twin,PASS,
failure_P05-A_Navigator Twin,PASS,
system_changed_P05-A_Navigator Twin,PASS,
non_system_same_P05-A_Navigator Twin,PASS,
exact_additive_P05-A_Navigator Twin,PASS,
candidate_markers_P05-A_Navigator Twin,PASS,
baseline_markers_absent_P05-A_Navigator Twin,PASS,
route_P05-B_Examined Companion,PASS,
user_P05-B_Examined Companion,PASS,
required_P05-B_Examined Companion,PASS,
failure_P05-B_Examined Companion,PASS,
system_changed_P05-B_Examined Companion,PASS,
non_system_same_P05-B_Examined Companion,PASS,
exact_additive_P05-B_Examined Companion,PASS,
candidate_markers_P05-B_Examined Companion,PASS,
baseline_markers_absent_P05-B_Examined Companion,PASS,
route_P05-B_Navigator Twin,PASS,
user_P05-B_Navigator Twin,PASS,
required_P05-B_Navigator Twin,PASS,
failure_P05-B_Navigator Twin,PASS,
system_changed_P05-B_Navigator Twin,PASS,
non_system_same_P05-B_Navigator Twin,PASS,
exact_additive_P05-B_Navigator Twin,PASS,
candidate_markers_P05-B_Navigator Twin,PASS,
baseline_markers_absent_P05-B_Navigator Twin,PASS,
route_P06-A_Examined Companion,PASS,
user_P06-A_Examined Companion,PASS,
required_P06-A_Examined Companion,PASS,
failure_P06-A_Examined Companion,PASS,
system_changed_P06-A_Examined Companion,PASS,
non_system_same_P06-A_Examined Companion,PASS,
exact_additive_P06-A_Examined Companion,PASS,
candidate_markers_P06-A_Examined Companion,PASS,
baseline_markers_absent_P06-A_Examined Companion,PASS,
route_P06-A_Navigator Twin,PASS,
user_P06-A_Navigator Twin,PASS,
required_P06-A_Navigator Twin,PASS,
failure_P06-A_Navigator Twin,PASS,
local_same_P06-A_Navigator Twin,PASS,
route_P06-B_Examined Companion,PASS,
user_P06-B_Examined Companion,PASS,
required_P06-B_Examined Companion,PASS,
failure_P06-B_Examined Companion,PASS,
system_changed_P06-B_Examined Companion,PASS,
non_system_same_P06-B_Examined Companion,PASS,
exact_additive_P06-B_Examined Companion,PASS,
candidate_markers_P06-B_Examined Companion,PASS,
baseline_markers_absent_P06-B_Examined Companion,PASS,
route_P06-B_Navigator Twin,PASS,
user_P06-B_Navigator Twin,PASS,
required_P06-B_Navigator Twin,PASS,
failure_P06-B_Navigator Twin,PASS,
system_changed_P06-B_Navigator Twin,PASS,
non_system_same_P06-B_Navigator Twin,PASS,
exact_additive_P06-B_Navigator Twin,PASS,
candidate_markers_P06-B_Navigator Twin,PASS,
baseline_markers_absent_P06-B_Navigator Twin,PASS,
route_P07-A_Examined Companion,PASS,
user_P07-A_Examined Companion,PASS,
required_P07-A_Examined Companion,PASS,
failure_P07-A_Examined Companion,PASS,
system_changed_P07-A_Examined Companion,PASS,
non_system_same_P07-A_Examined Companion,PASS,
exact_additive_P07-A_Examined Companion,PASS,
candidate_markers_P07-A_Examined Companion,PASS,
baseline_markers_absent_P07-A_Examined Companion,PASS,
route_P07-A_Navigator Twin,PASS,
user_P07-A_Navigator Twin,PASS,
required_P07-A_Navigator Twin,PASS,
failure_P07-A_Navigator Twin,PASS,
system_changed_P07-A_Navigator Twin,PASS,
non_system_same_P07-A_Navigator Twin,PASS,
exact_additive_P07-A_Navigator Twin,PASS,
candidate_markers_P07-A_Navigator Twin,PASS,
baseline_markers_absent_P07-A_Navigator Twin,PASS,
route_P07-B_Examined Companion,PASS,
user_P07-B_Examined Companion,PASS,
required_P07-B_Examined Companion,PASS,
failure_P07-B_Examined Companion,PASS,
system_changed_P07-B_Examined Companion,PASS,
non_system_same_P07-B_Examined Companion,PASS,
exact_additive_P07-B_Examined Companion,PASS,
candidate_markers_P07-B_Examined Companion,PASS,
baseline_markers_absent_P07-B_Examined Companion,PASS,
route_P07-B_Navigator Twin,PASS,
user_P07-B_Navigator Twin,PASS,
required_P07-B_Navigator Twin,PASS,
failure_P07-B_Navigator Twin,PASS,
system_changed_P07-B_Navigator Twin,PASS,
non_system_same_P07-B_Navigator Twin,PASS,
exact_additive_P07-B_Navigator Twin,PASS,
candidate_markers_P07-B_Navigator Twin,PASS,
baseline_markers_absent_P07-B_Navigator Twin,PASS,
route_P08-A_Examined Companion,PASS,
user_P08-A_Examined Companion,PASS,
required_P08-A_Examined Companion,PASS,
failure_P08-A_Examined Companion,PASS,
system_changed_P08-A_Examined Companion,PASS,
non_system_same_P08-A_Examined Companion,PASS,
exact_additive_P08-A_Examined Companion,PASS,
candidate_markers_P08-A_Examined Companion,PASS,
baseline_markers_absent_P08-A_Examined Companion,PASS,
route_P08-A_Navigator Twin,PASS,
user_P08-A_Navigator Twin,PASS,
required_P08-A_Navigator Twin,PASS,
failure_P08-A_Navigator Twin,PASS,
system_changed_P08-A_Navigator Twin,PASS,
non_system_same_P08-A_Navigator Twin,PASS,
exact_additive_P08-A_Navigator Twin,PASS,
candidate_markers_P08-A_Navigator Twin,PASS,
baseline_markers_absent_P08-A_Navigator Twin,PASS,
route_P08-B_Examined Companion,PASS,
user_P08-B_Examined Companion,PASS,
required_P08-B_Examined Companion,PASS,
failure_P08-B_Examined Companion,PASS,
system_changed_P08-B_Examined Companion,PASS,
non_system_same_P08-B_Examined Companion,PASS,
exact_additive_P08-B_Examined Companion,PASS,
candidate_markers_P08-B_Examined Companion,PASS,
baseline_markers_absent_P08-B_Examined Companion,PASS,
route_P08-B_Navigator Twin,PASS,
user_P08-B_Navigator Twin,PASS,
required_P08-B_Navigator Twin,PASS,
failure_P08-B_Navigator Twin,PASS,
system_changed_P08-B_Navigator Twin,PASS,
non_system_same_P08-B_Navigator Twin,PASS,
exact_additive_P08-B_Navigator Twin,PASS,
candidate_markers_P08-B_Navigator Twin,PASS,
baseline_markers_absent_P08-B_Navigator Twin,PASS,
route_P09-A_Examined Companion,PASS,
user_P09-A_Examined Companion,PASS,
required_P09-A_Examined Companion,PASS,
failure_P09-A_Examined Companion,PASS,
system_changed_P09-A_Examined Companion,PASS,
non_system_same_P09-A_Examined Companion,PASS,
exact_additive_P09-A_Examined Companion,PASS,
candidate_markers_P09-A_Examined Companion,PASS,
baseline_markers_absent_P09-A_Examined Companion,PASS,
route_P09-A_Navigator Twin,PASS,
user_P09-A_Navigator Twin,PASS,
required_P09-A_Navigator Twin,PASS,
failure_P09-A_Navigator Twin,PASS,
system_changed_P09-A_Navigator Twin,PASS,
non_system_same_P09-A_Navigator Twin,PASS,
exact_additive_P09-A_Navigator Twin,PASS,
candidate_markers_P09-A_Navigator Twin,PASS,
baseline_markers_absent_P09-A_Navigator Twin,PASS,
route_P09-B_Examined Companion,PASS,
user_P09-B_Examined Companion,PASS,
required_P09-B_Examined Companion,PASS,
failure_P09-B_Examined Companion,PASS,
system_changed_P09-B_Examined Companion,PASS,
non_system_same_P09-B_Examined Companion,PASS,
exact_additive_P09-B_Examined Companion,PASS,
candidate_markers_P09-B_Examined Companion,PASS,
baseline_markers_absent_P09-B_Examined Companion,PASS,
route_P09-B_Navigator Twin,PASS,
user_P09-B_Navigator Twin,PASS,
required_P09-B_Navigator Twin,PASS,
failure_P09-B_Navigator Twin,PASS,
system_changed_P09-B_Navigator Twin,PASS,
non_system_same_P09-B_Navigator Twin,PASS,
exact_additive_P09-B_Navigator Twin,PASS,
candidate_markers_P09-B_Navigator Twin,PASS,
baseline_markers_absent_P09-B_Navigator Twin,PASS,
route_P10-A_Examined Companion,PASS,
user_P10-A_Examined Companion,PASS,
required_P10-A_Examined Companion,PASS,
failure_P10-A_Examined Companion,PASS,
system_changed_P10-A_Examined Companion,PASS,
non_system_same_P10-A_Examined Companion,PASS,
exact_additive_P10-A_Examined Companion,PASS,
candidate_markers_P10-A_Examined Companion,PASS,
baseline_markers_absent_P10-A_Examined Companion,PASS,
route_P10-A_Navigator Twin,PASS,
user_P10-A_Navigator Twin,PASS,
required_P10-A_Navigator Twin,PASS,
failure_P10-A_Navigator Twin,PASS,
system_changed_P10-A_Navigator Twin,PASS,
non_system_same_P10-A_Navigator Twin,PASS,
exact_additive_P10-A_Navigator Twin,PASS,
candidate_markers_P10-A_Navigator Twin,PASS,
baseline_markers_absent_P10-A_Navigator Twin,PASS,
route_P10-B_Examined Companion,PASS,
